LensFilter
"6-Point Star"
"Blue"
"Center Image Soft"
"Center N.D. Filter"
"Circular Polarizer"
"Color Correcting"
"Contrast Enhancing"
"Diffuser"
"Double Exposure"
"Duto"
"Fixed N.D. Filter"
"FLD Fluorescent Filter"
"Graduated Color"
"Graduated N.D. Filter"
"Green"
"IR"
"Multi Image 3"
"N.D. Variable"
"Polarizing Filter"
"Rainbow"
"Red"
"Sand"
"Sensor IR Filter Removed"
"Sepia"
"Soft Effect"
"Softone"
"Solid Color"
"Special Softone"
"Split Field"
"Star Filter"
"Streak Filter"
"ThroughGlass"
"UV"
"Vari-Cross"
"Warming"
