1	1	1	2	2	4	5	7	
1	1	2	2	3	4	5	7	
1	2	2	2	3	4	6	8	
2	2	2	3	3	5	6	8	
2	3	3	3	4	5	7	9	
4	4	4	5	5	7	8	10	
5	5	6	6	7	8	10	12	
7	7	8	8	9	10	12	14	
2	2	2	3	6	12	15	15	
2	2	2	3	6	12	15	15	
2	2	2	4	7	13	15	15	
3	3	4	5	9	15	15	15	
6	6	7	9	14	15	15	15	
12	12	13	15	15	15	15	15	
15	15	15	15	15	15	15	15	
15	15	15	15	15	15	15	15	
