Chocoflop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIMP,2.8,2.6.6,2.6.5,2.6.1,2.6,2.4.7,2.4,2.2.17,2.2,2.0.6,2,1.2.5,1.2,1.0.3,1,0.99.31,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Photos,1.5,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fotoflexer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irfanview,4.38,4.37,4.33,4.32,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawTherapee,4.2.11,4.2.1148,4.2.936,4.2.876,4.2.270,4.2.1,4.1,4.0.11.1,4.0.9.15,4.0.9.1,4.0.8.3,4.0.7.1,4.0.6.4,4.0.5.2,4.0.4.2,3.0.1.0,3.0.0,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PicMonkey,2016,2015,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paint.net,4.0.10,4.0.9,4.0.6,4.0.5,4.0.3,4.0.2,4.0.1,4.0.0,3.5.11,3.5.10,3.5.8,3.5.7,3.5.6,3.5.5,3.5.4,3.5.3,3.5.2,3.5.1,3.5.0,3.3.6,3.3.5,3.3.1,3.3.0,3.2.2,3.2.0,3.1.0,3.0.8,3.0.7,3.0.5,3.0.1,3.0.0,2.7.2,2.7.0,2.6.4,2.6.3,2.6.2,2.6.1,2.6.0,2.5.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photoline ,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darktable,2.0.5,2.0.4,2.0.3,2.0.2,2.0.1,2,1.6.9,1.6.8,1.6.7,1.6.6,1.6.4,1.6.3,1.6.2,1.6.1,1.6,1.4.2,1.4,1.2.3,1.2.2,1.2.1,1.2,1.1,1.0.5,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photivo,2016,2015,2014,2013,2012,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
