19	 13	 12	 19	 29	 48	 62	 74
14	 14	 17	 23	 31	 71	 73	 67
17	 15	 19	 29	 48	 69	 84	 68
17	 20	 26	 35	 62	 106	 97	 75
22	 26	 45	 68	 83	 133	 126	 94
29	 42	 67	 78	 99	 127	 138	 112
59	 78	 95	 106	 126	 148	 146	 123
88	 112	 116	 119	 137	 122	 126	 121
20	 22	 29	 57	 121	 121	 121	 121
22	 25	 31	 80	 121	 121	 121	 121
29	 31	 68	 121	 121	 121	 121	 121
57	 80	 121	 121	 121	 121	 121	 121
121	 121	 121	 121	 121	 121	 121	 121
121	 121	 121	 121	 121	 121	 121	 121
121	 121	 121	 121	 121	 121	 121	 121
121	 121	 121	 121	 121	 121	 121	 121
