13	 17	 16	 25	 38	 63	 81	 97
19	 19	 22	 30	 41	 92	 95	 87
22	 21	 25	 38	 63	 90	 109	 89
22	 27	 35	 46	 81	 138	 127	 98
28	 35	 59	 89	 108	 172	 163	 122
38	 55	 87	 101	 128	 165	 179	 146
78	 101	 123	 138	 163	 191	 190	 160
114	 146	 150	 155	 177	 158	 163	 157
13	 28	 38	 74	 157	 157	 157	 157
28	 33	 41	 104	 157	 157	 157	 157
38	 41	 89	 157	 157	 157	 157	 157
74	 104	 157	 157	 157	 157	 157	 157
157	 157	 157	 157	 157	 157	 157	 157
157	 157	 157	 157	 157	 157	 157	 157
157	 157	 157	 157	 157	 157	 157	 157
157	 157	 157	 157	 157	 157	 157	 157
