20	 13	 12	 20	 30	 50	 63	 76
15	 15	 17	 23	 32	 72	 75	 69
17	 16	 20	 30	 50	 71	 86	 70
17	 21	 27	 36	 63	 109	 100	 77
22	 27	 46	 70	 85	 136	 129	 96
30	 43	 69	 80	 101	 130	 141	 115
61	 80	 97	 109	 129	 151	 150	 126
90	 115	 119	 122	 140	 125	 129	 124
21	 22	 30	 58	 124	 124	 124	 124
22	 26	 32	 82	 124	 124	 124	 124
30	 32	 70	 124	 124	 124	 124	 124
58	 82	 124	 124	 124	 124	 124	 124
124	 124	 124	 124	 124	 124	 124	 124
124	 124	 124	 124	 124	 124	 124	 124
124	 124	 124	 124	 124	 124	 124	 124
124	 124	 124	 124	 124	 124	 124	 124
