17	 11	 10	 17	 25	 42	 54	 65
12	 12	 15	 20	 27	 62	 64	 58
15	 13	 17	 25	 42	 61	 74	 60
15	 18	 23	 31	 54	 93	 85	 66
19	 23	 39	 60	 72	 116	 110	 82
25	 37	 58	 68	 86	 111	 121	 98
52	 68	 83	 93	 110	 129	 128	 108
77	 98	 101	 105	 120	 107	 110	 106
18	 19	 25	 50	 106	 106	 106	 106
19	 22	 27	 70	 106	 106	 106	 106
25	 27	 60	 106	 106	 106	 106	 106
50	 70	 106	 106	 106	 106	 106	 106
106	 106	 106	 106	 106	 106	 106	 106
106	 106	 106	 106	 106	 106	 106	 106
106	 106	 106	 106	 106	 106	 106	 106
106	 106	 106	 106	 106	 106	 106	 106
