22	 15	 14	 22	 33	 56	 71	 86
16	 16	 19	 26	 36	 81	 84	 77
19	 18	 22	 33	 56	 80	 97	 78
19	 23	 31	 40	 71	 122	 112	 87
25	 31	 52	 78	 95	 153	 145	 108
33	 49	 77	 90	 114	 146	 159	 129
69	 90	 110	 122	 145	 170	 169	 142
101	 129	 133	 138	 157	 141	 145	 139
23	 25	 33	 66	 139	 139	 139	 139
25	 29	 36	 93	 139	 139	 139	 139
33	 36	 78	 139	 139	 139	 139	 139
66	 93	 139	 139	 139	 139	 139	 139
139	 139	 139	 139	 139	 139	 139	 139
139	 139	 139	 139	 139	 139	 139	 139
139	 139	 139	 139	 139	 139	 139	 139
139	 139	 139	 139	 139	 139	 139	 139
