20	 14	 13	 20	 31	 52	 66	 79
15	 15	 18	 24	 33	 75	 78	 71
18	 16	 20	 31	 52	 74	 90	 73
18	 22	 28	 37	 66	 113	 104	 80
23	 28	 48	 73	 88	 142	 134	 100
31	 45	 71	 83	 105	 135	 147	 120
63	 83	 101	 113	 134	 157	 156	 131
93	 120	 123	 127	 146	 130	 134	 129
22	 23	 31	 61	 129	 129	 129	 129
23	 27	 33	 86	 129	 129	 129	 129
31	 33	 73	 129	 129	 129	 129	 129
61	 86	 129	 129	 129	 129	 129	 129
129	 129	 129	 129	 129	 129	 129	 129
129	 129	 129	 129	 129	 129	 129	 129
129	 129	 129	 129	 129	 129	 129	 129
129	 129	 129	 129	 129	 129	 129	 129
