15	 10	 9	 15	 23	 39	 50	 60
11	 11	 13	 18	 25	 57	 59	 54
13	 12	 15	 23	 39	 56	 68	 55
13	 16	 21	 28	 50	 86	 79	 61
17	 21	 36	 55	 67	 108	 102	 76
23	 34	 54	 63	 80	 103	 111	 91
48	 63	 77	 86	 102	 119	 118	 100
71	 91	 94	 97	 110	 99	 102	 98
16	 17	 23	 46	 98	 98	 98	 98
17	 20	 25	 65	 98	 98	 98	 98
23	 25	 55	 98	 98	 98	 98	 98
46	 65	 98	 98	 98	 98	 98	 98
98	 98	 98	 98	 98	 98	 98	 98
98	 98	 98	 98	 98	 98	 98	 98
98	 98	 98	 98	 98	 98	 98	 98
98	 98	 98	 98	 98	 98	 98	 98
