14	 19	 18	 28	 42	 71	 90	 108
21	 21	 25	 34	 46	 102	 106	 97
25	 23	 28	 42	 71	 101	 122	 99
25	 30	 39	 51	 90	 154	 141	 109
32	 39	 65	 99	 120	 192	 182	 136
42	 62	 97	 113	 143	 184	 200	 162
87	 113	 138	 154	 182	 214	 212	 178
127	 162	 168	 173	 198	 177	 182	 175
14	 32	 42	 83	 175	 175	 175	 175
32	 37	 46	 117	 175	 175	 175	 175
42	 46	 99	 175	 175	 175	 175	 175
83	 117	 175	 175	 175	 175	 175	 175
175	 175	 175	 175	 175	 175	 175	 175
175	 175	 175	 175	 175	 175	 175	 175
175	 175	 175	 175	 175	 175	 175	 175
175	 175	 175	 175	 175	 175	 175	 175
