21	 14	 13	 21	 31	 53	 67	 81
15	 15	 18	 25	 34	 77	 79	 73
18	 17	 21	 31	 53	 75	 91	 74
18	 22	 29	 38	 67	 115	 106	 82
23	 29	 49	 74	 90	 145	 137	 102
31	 46	 73	 85	 107	 138	 150	 122
65	 85	 103	 115	 137	 161	 159	 134
95	 122	 126	 130	 149	 133	 137	 131
22	 23	 31	 62	 131	 131	 131	 131
23	 27	 34	 87	 131	 131	 131	 131
31	 34	 74	 131	 131	 131	 131	 131
62	 87	 131	 131	 131	 131	 131	 131
131	 131	 131	 131	 131	 131	 131	 131
131	 131	 131	 131	 131	 131	 131	 131
131	 131	 131	 131	 131	 131	 131	 131
131	 131	 131	 131	 131	 131	 131	 131
