13	 18	 16	 26	 39	 65	 83	 100
20	 20	 23	 31	 43	 95	 98	 90
23	 21	 26	 39	 65	 93	 113	 92
23	 28	 36	 47	 83	 142	 131	 101
29	 36	 61	 92	 111	 178	 169	 126
39	 57	 90	 105	 133	 170	 185	 151
80	 105	 128	 142	 169	 198	 196	 165
118	 151	 155	 160	 183	 164	 169	 162
13	 29	 39	 77	 162	 162	 162	 162
29	 34	 43	 108	 162	 162	 162	 162
39	 43	 92	 162	 162	 162	 162	 162
77	 108	 162	 162	 162	 162	 162	 162
162	 162	 162	 162	 162	 162	 162	 162
162	 162	 162	 162	 162	 162	 162	 162
162	 162	 162	 162	 162	 162	 162	 162
162	 162	 162	 162	 162	 162	 162	 162
